type,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,discipline,outcome_type,regression_type
response,treat,Jan-00,0.911618243,0.564225467,1.615698503,0.106159515,-0.194243352,2.017479838,Art,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.00520549,0.003857196,-1.34955282,0.177159467,-0.012765455,0.002354475,Art,Reference Cascade NC,lm
response,treat,Jan-00,-4.095758458,2.346339347,-1.745595096,0.080881335,-8.694499074,0.502982158,Art,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-0.414865456,0.369872549,-1.121644353,0.262013686,-1.139802332,0.31007142,Art,Reference Cascade SP,lm
response,treat,Jan-00,-97.68053032,194.9638886,-0.501018578,0.616358048,-479.8027303,284.4416697,Art,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-4.690394217,2.910142399,-1.611740449,0.107018432,-10.39416851,1.013380075,Art,Reference Cascade SP,100PercentLm
response,treat,Jan-00,0.007803221,0.007605994,1.025930535,0.304924328,-0.007104253,0.022710696,Art,Citation Cascade NC,lm
response,treat,Jan-00,0.373191462,0.299510527,1.246004495,0.212762745,-0.213838383,0.960221308,Art,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.073530577,0.147333589,0.499075448,0.617726233,-0.215237952,0.362299106,Art,Citation Cascade SP,lm
response,treat,Jan-00,0.195242412,0.554862178,0.35187551,0.724931626,-0.892267473,1.282752296,Art,Citation Cascade SP,100PercentLm
response,treat,Jan-00,0.781378543,2.311105202,0.33809735,0.735289828,-3.748304416,5.311061503,Art,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,235.8900752,1104.680975,0.213536832,0.830908264,-1929.244849,2401.025,History,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.017262107,0.00534465,-3.229792085,0.001238803,-0.027737428,-0.006786786,History,Reference Cascade NC,lm
response,treat,Jan-00,-11.4851637,2.500480099,-4.593183408,4.37E-06,-16.38601464,-6.584312765,History,Reference Cascade NC,100PercentLm
response,treat,Jan-00,-1.135836896,0.287091583,-3.956357357,7.61E-05,-1.698526058,-0.573147733,History,Reference Cascade SP,lm
response,treat,Jan-00,-482.5446678,131.2272756,-3.677167463,0.000235838,-739.7454017,-225.343934,History,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,-9.09657515,2.808385389,-3.239076511,0.001199174,-14.60090937,-3.592240932,History,Reference Cascade SP,100PercentLm
response,treat,Jan-00,0.005042446,0.003241437,1.555620593,0.119798339,-0.001310654,0.011395546,History,Citation Cascade NC,lm
response,treat,Jan-00,0.401778035,0.23569737,1.704635204,0.088262481,-0.060180322,0.863736392,History,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.04986051,0.113745105,0.438353021,0.661130396,-0.173075799,0.272796819,History,Citation Cascade SP,lm
response,treat,Jan-00,0.319636173,0.531286566,0.601626681,0.547422664,-0.721666361,1.360938708,History,Citation Cascade SP,100PercentLm
response,treat,Jan-00,-2.314552817,4.560348837,-0.507538546,0.611776998,-11.25267229,6.623566662,History,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,4.619273581,0.294085776,15.70723221,0,4.042876051,5.195671112,Chemistry,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,0.000709803,0.00014815,4.791103795,1.66E-06,0.000419434,0.001000172,Chemistry,Reference Cascade NC,lm
response,treat,Jan-00,2.390485195,0.293909015,8.133419082,4.00E-16,1.81443411,2.96653628,Chemistry,Reference Cascade NC,100PercentLm
response,treat,Jan-00,0.240952442,0.01022943,23.55482578,0,0.220903128,0.261001757,Chemistry,Reference Cascade SP,lm
response,treat,Jan-00,1078.285571,37.30500899,28.90457877,0,1005.169097,1151.402045,Chemistry,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,6.029108023,0.206253045,29.23160739,0,5.624859484,6.433356562,Chemistry,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.00288981,0.000323915,-8.92150347,0,-0.003524673,-0.002254948,Chemistry,Citation Cascade NC,lm
response,treat,Jan-00,-4.860359849,0.254721042,-19.08110852,0,-5.359603918,-4.36111578,Chemistry,Citation Cascade NC,100PercentLm
